#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
2.660723649994159445e-01 1.364570982372532654e+10 1.103747382843211788e+01 2.456844710088935938e+13
2.671366544594135917e-01 1.499438006258784485e+10 1.257768969402786752e+01 2.369075495561177344e+13
2.682052010772512096e-01 1.489421961237207985e+10 1.019367070405288445e+01 2.903610879686100391e+13
2.692780218815602478e-01 1.647628650470026970e+10 1.234626597887126032e+01 2.652008845779020312e+13
2.703551339690865030e-01 1.598150949264958000e+10 1.108226406564207167e+01 2.865764937454933203e+13
2.714365545049627904e-01 1.857710261044263077e+10 1.985559581123518313e+01 1.859286509932089062e+13
2.725223007229827243e-01 1.964302674138401794e+10 2.648787041212988314e+01 1.473712023430637109e+13
2.736123899258746106e-01 2.021525764853835678e+10 3.063180751946843827e+01 1.311468665031163086e+13
2.747068394855781692e-01 2.139465675209925842e+10 4.363399688089049988e+01 9.743872418468404297e+12
2.758056668435204806e-01 2.047152931084934235e+10 2.561292284748543580e+01 1.588336105166661719e+13
2.769088895108945403e-01 1.829288874361157990e+10 1.730656276370012492e+01 2.100500229044353125e+13
2.780165250689380918e-01 2.004293678711873245e+10 2.958571038743552251e+01 1.346265191617729883e+13
2.791285911692138466e-01 2.673219869876818466e+10 7.807264470286702363e+01 6.804356369730882812e+12
2.802451055338907038e-01 2.717284039267904663e+10 1.416671523628850196e+02 3.811686161993143066e+12
2.813660859560263017e-01 2.095069819446464920e+10 2.490347991681758444e+01 1.671820801492114062e+13
2.824915502998503469e-01 2.172223997669296646e+10 1.385791544821338661e+01 3.114999361311263672e+13
2.836215165010497197e-01 2.311977756985230255e+10 1.534504398946670101e+01 2.994103270757040625e+13
2.847560025670539119e-01 3.459502870216004944e+10 3.937006752841342916e+01 1.746219354464112500e+13
2.858950265773221866e-01 3.022890427235206604e+10 2.633535936101317176e+01 2.281047968857824609e+13
2.870386066836315142e-01 2.470048707390652084e+10 1.340043985443688257e+01 3.663006804099784375e+13
2.881867611103660631e-01 2.398720633624114227e+10 1.434736018522393586e+01 3.322453654383749219e+13
2.893395081548075787e-01 2.148679004919042587e+10 1.024141737018951659e+01 4.169296074791178906e+13
2.904968661874267610e-01 2.267461998969577408e+10 8.471949001547571356e+00 5.318730025736826562e+13
2.916588536521764197e-01 2.216273450733376694e+10 8.975337138441462415e+00 4.907087872028007031e+13
2.928254890667851273e-01 2.557047782728872681e+10 1.135892472252760221e+01 4.473556060936827344e+13
2.939967910230522619e-01 2.523366130733909988e+10 1.146535991816734601e+01 4.373648117781005469e+13
2.951727781871444911e-01 2.956653373506744003e+10 1.281968910154130015e+01 4.583256694728460938e+13
2.963534692998930908e-01 2.832213399364286423e+10 1.168879908976232507e+01 4.815122508532718750e+13
2.975388831770926501e-01 2.927405020441202927e+10 1.140017417420184387e+01 5.102964987928093750e+13
2.987290387098009981e-01 2.827037401386933136e+10 1.374606564317179824e+01 4.086997787436315625e+13
2.999239548646402409e-01 3.336621044841013718e+10 2.387104801160840495e+01 2.777708452137930469e+13
3.011236506840988536e-01 2.656292457287674332e+10 1.096464553209006709e+01 4.814293406089215625e+13
3.023281452868351593e-01 3.966167394264471436e+10 1.977599539463746581e+01 3.985510425706634375e+13
3.035374578679824742e-01 2.637197501909748459e+10 1.022013712187104595e+01 5.127872223853006250e+13
3.047516076994544187e-01 2.884409580493696594e+10 1.142094700310898858e+01 5.018871483965925781e+13
3.059706141302522830e-01 2.931737773014597321e+10 1.213138425265187870e+01 4.802485094265482812e+13
3.071944965867733357e-01 2.816627682095130157e+10 9.968502024856849886e+00 5.615013487064244531e+13
